compte_courant,duree_emprunt_mois,historique_credit,raison,montant,compte_epargne,duree_emploi,annees_presence_logement,age,autre_credit,logement,nbre_emprunts_actuels,job,dependants,telephone,defaillant,revenufinal
< 0 Euro,21,tres bon,auto,1647,inconnu,1 - 4 annees,2.0,40.0,aucun,proprietaire,2,non_qualifie,2,oui,oui,10033.464727630699
inconnu,24,critique,ameublement,3777,> 1000 Euro,1 - 4 annees,4.0,50.0,aucun,proprietaire,1,qualifie,1,oui,non,17573.7058241421
1 - 200 Euro,18,critique,auto,884,< 100 Euro,> 7 annees,4.0,36.0,banque,proprietaire,1,qualifie,2,oui,oui,4896.1347592957
inconnu,15,critique,ameublement,1360,< 100 Euro,1 - 4 annees,2.0,31.0,aucun,proprietaire,2,qualifie,1,oui,non,7847.02338656461
1 - 200 Euro,9,tres bon,auto,5129,< 100 Euro,> 7 annees,4.0,74.0,banque,autre,1,management,2,oui,oui,11888.4793940476
1 - 200 Euro,16,critique,auto,1175,< 100 Euro,chomeur,3.0,68.0,aucun,autre,3,chomeur,1,oui,non,4170.44582189804
< 0 Euro,12,bon,ameublement,674,100 - 500 Euro,4 - 7 annees,1.0,20.0,aucun,proprietaire,1,qualifie,1,oui,oui,4295.80087734551
1 - 200 Euro,18,parfait,ameublement,3244,< 100 Euro,1 - 4 annees,4.0,33.0,banque,proprietaire,2,qualifie,1,oui,non,4253.060821539179
inconnu,24,bon,business,4591,> 1000 Euro,1 - 4 annees,3.0,54.0,aucun,proprietaire,3,management,1,oui,oui,11813.628509518101
1 - 200 Euro,48,parfait,business,3844,100 - 500 Euro,4 - 7 annees,4.0,34.0,aucun,autre,1,non_qualifie,2,oui,oui,17744.2522780806
1 - 200 Euro,27,bon,business,3915,< 100 Euro,1 - 4 annees,2.0,36.0,aucun,proprietaire,1,qualifie,2,oui,oui,26392.7951063867
inconnu,6,bon,ameublement,2108,< 100 Euro,4 - 7 annees,2.0,29.0,aucun,locataire,1,qualifie,1,oui,non,7199.50821301996
1 - 200 Euro,45,bon,ameublement,3031,100 - 500 Euro,1 - 4 annees,4.0,21.0,aucun,locataire,1,qualifie,1,oui,oui,19050.344669431102
1 - 200 Euro,9,critique,education,1501,< 100 Euro,> 7 annees,3.0,34.0,aucun,proprietaire,2,management,1,oui,oui,3758.55295011115
inconnu,6,critique,ameublement,1382,< 100 Euro,1 - 4 annees,1.0,28.0,aucun,proprietaire,2,qualifie,1,oui,non,2447.90210925332
1 - 200 Euro,12,bon,ameublement,951,100 - 500 Euro,< 1 annee,4.0,27.0,banque,locataire,4,qualifie,1,oui,oui,4244.37236422242
1 - 200 Euro,24,bon,auto,2760,inconnu,> 7 annees,4.0,36.0,banque,autre,1,qualifie,1,oui,non,15926.559811781699
1 - 200 Euro,18,pauvre,ameublement,4297,< 100 Euro,> 7 annees,3.0,40.0,aucun,proprietaire,1,management,1,oui,oui,24464.3044442044
inconnu,9,critique,education,936,500 - 1000 Euro,> 7 annees,2.0,52.0,aucun,proprietaire,2,qualifie,1,oui,non,5474.39912392129
< 0 Euro,12,bon,auto,1168,< 100 Euro,1 - 4 annees,3.0,27.0,aucun,proprietaire,1,non_qualifie,1,oui,non,6809.07164244164
inconnu,27,pauvre,business,5117,< 100 Euro,4 - 7 annees,4.0,26.0,aucun,proprietaire,2,qualifie,1,oui,non,21687.7278004843
< 0 Euro,12,bon,education,902,< 100 Euro,4 - 7 annees,4.0,21.0,aucun,locataire,1,qualifie,1,oui,oui,4273.451776081621
inconnu,12,critique,auto,1495,< 100 Euro,> 7 annees,1.0,38.0,aucun,proprietaire,2,non_qualifie,2,oui,non,10433.8423082108
< 0 Euro,30,critique,auto,10623,< 100 Euro,> 7 annees,4.0,38.0,aucun,autre,3,management,2,oui,non,34755.300940246605
inconnu,12,critique,ameublement,1935,< 100 Euro,> 7 annees,4.0,43.0,aucun,proprietaire,3,qualifie,1,oui,non,9240.866931218392
1 - 200 Euro,12,critique,ameublement,1424,< 100 Euro,4 - 7 annees,3.0,26.0,aucun,proprietaire,1,qualifie,1,oui,non,8122.52872115109
< 0 Euro,24,bon,business,6568,< 100 Euro,1 - 4 annees,2.0,21.0,magasin,proprietaire,1,non_qualifie,1,oui,non,14093.3184807058
inconnu,12,bon,auto,1413,> 1000 Euro,4 - 7 annees,2.0,55.0,aucun,proprietaire,1,qualifie,1,oui,non,6483.458220382061
inconnu,9,critique,ameublement,3074,inconnu,1 - 4 annees,2.0,33.0,aucun,proprietaire,2,qualifie,2,oui,non,5266.684695307879
inconnu,36,bon,ameublement,3835,inconnu,> 7 annees,4.0,45.0,aucun,proprietaire,1,non_qualifie,1,oui,non,7985.802112818041
< 0 Euro,27,parfait,business,5293,< 100 Euro,chomeur,4.0,50.0,magasin,proprietaire,2,qualifie,1,oui,oui,10594.6401067709
> 200 Euro,30,pauvre,business,1908,< 100 Euro,> 7 annees,4.0,66.0,aucun,proprietaire,1,management,1,oui,oui,13655.301067916202
inconnu,36,critique,ameublement,3342,inconnu,> 7 annees,2.0,51.0,aucun,proprietaire,1,qualifie,1,oui,non,20848.658338926
1 - 200 Euro,6,critique,education,932,inconnu,4 - 7 annees,3.0,39.0,aucun,proprietaire,2,non_qualifie,1,oui,non,1047.55856436298
< 0 Euro,18,parfait,business,3104,< 100 Euro,4 - 7 annees,1.0,31.0,banque,proprietaire,1,qualifie,1,oui,non,15100.381809588
> 200 Euro,36,bon,ameublement,3913,< 100 Euro,1 - 4 annees,2.0,23.0,aucun,proprietaire,1,qualifie,1,oui,non,12910.531242937901
< 0 Euro,24,bon,ameublement,3021,< 100 Euro,1 - 4 annees,2.0,24.0,aucun,locataire,1,non_qualifie,1,oui,non,6069.691660183461
inconnu,10,bon,auto,1364,< 100 Euro,1 - 4 annees,4.0,64.0,aucun,proprietaire,1,qualifie,1,oui,non,4204.83796700245
1 - 200 Euro,12,bon,ameublement,625,< 100 Euro,< 1 annee,1.0,26.0,banque,proprietaire,1,non_qualifie,1,oui,non,2895.1389258901
< 0 Euro,12,bon,education,1200,inconnu,1 - 4 annees,4.0,23.0,banque,locataire,1,qualifie,1,oui,non,5112.072932751121
inconnu,12,bon,ameublement,707,< 100 Euro,1 - 4 annees,2.0,30.0,banque,proprietaire,2,qualifie,1,oui,non,4504.38901229574
inconnu,24,pauvre,business,2978,inconnu,1 - 4 annees,4.0,32.0,aucun,proprietaire,2,qualifie,2,oui,non,17605.019947573102
inconnu,15,bon,auto,4657,< 100 Euro,1 - 4 annees,2.0,30.0,aucun,proprietaire,1,qualifie,1,oui,non,21734.8469609124
inconnu,36,parfait,renonvations,2613,< 100 Euro,1 - 4 annees,2.0,27.0,aucun,proprietaire,2,qualifie,1,oui,non,14286.3110432774
1 - 200 Euro,48,bon,ameublement,10961,> 1000 Euro,4 - 7 annees,2.0,27.0,banque,proprietaire,2,qualifie,1,oui,oui,12802.8133240627
< 0 Euro,12,bon,ameublement,7865,< 100 Euro,> 7 annees,4.0,53.0,aucun,autre,1,management,1,oui,oui,52615.0547968884
inconnu,9,bon,ameublement,1478,< 100 Euro,4 - 7 annees,2.0,22.0,aucun,proprietaire,1,qualifie,1,oui,oui,8388.50124960502
< 0 Euro,24,bon,ameublement,3149,< 100 Euro,< 1 annee,1.0,22.0,banque,autre,1,qualifie,1,oui,non,18226.0660945863
> 200 Euro,36,bon,ameublement,4210,< 100 Euro,1 - 4 annees,2.0,26.0,aucun,proprietaire,1,qualifie,1,oui,oui,18930.4022530263
inconnu,9,bon,auto,2507,500 - 1000 Euro,> 7 annees,4.0,51.0,aucun,autre,1,non_qualifie,1,oui,non,6596.57329987455
inconnu,12,bon,ameublement,2141,100 - 500 Euro,4 - 7 annees,1.0,35.0,aucun,proprietaire,1,qualifie,1,oui,non,8349.88218995486
1 - 200 Euro,18,bon,ameublement,866,< 100 Euro,1 - 4 annees,2.0,25.0,aucun,proprietaire,1,non_qualifie,1,oui,non,4239.21752681129
inconnu,4,critique,ameublement,1544,< 100 Euro,4 - 7 annees,1.0,42.0,aucun,proprietaire,3,non_qualifie,2,oui,non,4121.26369332141
< 0 Euro,24,bon,ameublement,1823,< 100 Euro,chomeur,2.0,30.0,magasin,proprietaire,1,management,2,oui,oui,12901.8984390644
1 - 200 Euro,6,bon,auto,14555,inconnu,chomeur,2.0,23.0,aucun,proprietaire,1,chomeur,1,oui,oui,15665.440979023
1 - 200 Euro,21,bon,business,2767,100 - 500 Euro,> 7 annees,2.0,61.0,banque,locataire,2,non_qualifie,1,oui,oui,13952.8004566707
inconnu,12,critique,ameublement,1291,< 100 Euro,1 - 4 annees,2.0,35.0,aucun,proprietaire,2,qualifie,1,oui,non,8465.48380958255
< 0 Euro,30,bon,ameublement,2522,< 100 Euro,> 7 annees,3.0,39.0,aucun,proprietaire,1,qualifie,2,oui,non,3652.65007164389
< 0 Euro,24,bon,auto,915,inconnu,> 7 annees,2.0,29.0,banque,proprietaire,1,qualifie,1,oui,oui,4079.4843757926
inconnu,6,bon,ameublement,1595,< 100 Euro,4 - 7 annees,2.0,51.0,aucun,proprietaire,1,qualifie,2,oui,non,6706.88750617239
< 0 Euro,48,parfait,auto,4605,< 100 Euro,> 7 annees,4.0,24.0,aucun,autre,2,qualifie,2,oui,oui,17017.9091721131
inconnu,12,critique,business,1185,< 100 Euro,1 - 4 annees,2.0,27.0,aucun,proprietaire,2,qualifie,1,oui,non,4146.29630056572
inconnu,12,tres bon,education,3447,500 - 1000 Euro,1 - 4 annees,3.0,35.0,aucun,proprietaire,1,non_qualifie,2,oui,non,18085.1589107743
inconnu,24,bon,business,1258,< 100 Euro,4 - 7 annees,1.0,25.0,aucun,proprietaire,1,qualifie,1,oui,non,5085.15970163372
inconnu,12,critique,ameublement,717,< 100 Euro,> 7 annees,4.0,52.0,aucun,proprietaire,3,qualifie,1,oui,non,4050.585392707079
inconnu,6,parfait,auto,1204,100 - 500 Euro,1 - 4 annees,1.0,35.0,banque,locataire,1,qualifie,1,oui,non,6688.12769168565
> 200 Euro,24,bon,ameublement,1925,< 100 Euro,1 - 4 annees,2.0,26.0,aucun,proprietaire,1,qualifie,1,oui,non,5733.440010041801
inconnu,18,bon,ameublement,433,< 100 Euro,chomeur,4.0,22.0,aucun,locataire,1,qualifie,1,oui,oui,1493.8238987335599
< 0 Euro,6,critique,auto,666,> 1000 Euro,4 - 7 annees,4.0,39.0,aucun,proprietaire,2,non_qualifie,1,oui,non,2021.5040222781306
> 200 Euro,12,bon,ameublement,2251,< 100 Euro,1 - 4 annees,2.0,46.0,aucun,proprietaire,1,non_qualifie,1,oui,non,2949.43139285057
1 - 200 Euro,30,bon,auto,2150,< 100 Euro,1 - 4 annees,2.0,24.0,banque,proprietaire,1,qualifie,1,oui,oui,11742.7972727303
inconnu,24,pauvre,ameublement,4151,100 - 500 Euro,1 - 4 annees,3.0,35.0,aucun,proprietaire,2,qualifie,1,oui,non,12876.2034699903
1 - 200 Euro,9,bon,ameublement,2030,inconnu,4 - 7 annees,1.0,24.0,aucun,proprietaire,1,qualifie,1,oui,non,5634.83638864323
1 - 200 Euro,60,pauvre,ameublement,7418,inconnu,1 - 4 annees,1.0,27.0,aucun,proprietaire,1,non_qualifie,1,oui,non,8922.07211110872
inconnu,24,critique,ameublement,2684,< 100 Euro,1 - 4 annees,2.0,35.0,aucun,proprietaire,2,non_qualifie,1,oui,non,11927.2312113338
< 0 Euro,12,tres bon,ameublement,2149,< 100 Euro,1 - 4 annees,1.0,29.0,aucun,autre,1,qualifie,1,oui,oui,9831.50635498132
inconnu,15,bon,auto,3812,100 - 500 Euro,< 1 annee,4.0,23.0,aucun,proprietaire,1,qualifie,1,oui,non,5002.16801497955
inconnu,11,critique,ameublement,1154,100 - 500 Euro,chomeur,4.0,57.0,aucun,proprietaire,3,non_qualifie,1,oui,non,6037.50393276371
< 0 Euro,12,bon,ameublement,1657,< 100 Euro,1 - 4 annees,2.0,27.0,aucun,proprietaire,1,qualifie,1,oui,non,5763.131759558381
< 0 Euro,24,bon,ameublement,1603,< 100 Euro,> 7 annees,4.0,55.0,aucun,proprietaire,1,qualifie,1,oui,non,10822.7802926815
< 0 Euro,18,critique,auto,5302,< 100 Euro,> 7 annees,4.0,36.0,aucun,autre,3,management,1,oui,non,10977.2286122067
inconnu,12,critique,education,2748,< 100 Euro,> 7 annees,4.0,57.0,banque,autre,3,non_qualifie,1,oui,non,6841.81742371334
inconnu,10,critique,auto,1231,< 100 Euro,> 7 annees,4.0,32.0,aucun,proprietaire,2,non_qualifie,2,oui,non,5847.3397226217785
1 - 200 Euro,15,bon,ameublement,802,< 100 Euro,> 7 annees,3.0,37.0,aucun,proprietaire,1,qualifie,2,oui,oui,3729.188223198
inconnu,36,critique,business,6304,inconnu,> 7 annees,4.0,36.0,aucun,proprietaire,2,qualifie,1,oui,non,38952.0529347381
inconnu,24,bon,ameublement,1533,< 100 Euro,< 1 annee,3.0,38.0,magasin,proprietaire,1,qualifie,1,oui,non,6308.44971400619
< 0 Euro,14,bon,auto,8978,< 100 Euro,> 7 annees,4.0,45.0,aucun,proprietaire,1,management,1,oui,oui,11627.8012141241
inconnu,24,bon,ameublement,999,inconnu,> 7 annees,2.0,25.0,aucun,proprietaire,2,qualifie,1,oui,non,6312.77505196563
inconnu,18,bon,auto,2662,inconnu,4 - 7 annees,3.0,32.0,aucun,proprietaire,1,qualifie,1,oui,non,14541.349713138501
inconnu,12,critique,ameublement,1402,500 - 1000 Euro,4 - 7 annees,4.0,37.0,aucun,locataire,1,qualifie,1,oui,non,5686.60544676963
1 - 200 Euro,48,tres bon,auto,12169,inconnu,chomeur,4.0,36.0,aucun,autre,1,management,1,oui,non,74065.3069697508
1 - 200 Euro,48,bon,ameublement,3060,< 100 Euro,4 - 7 annees,4.0,28.0,aucun,proprietaire,2,qualifie,1,oui,oui,16327.2547423798
< 0 Euro,30,bon,renonvations,11998,< 100 Euro,< 1 annee,1.0,34.0,aucun,proprietaire,1,non_qualifie,1,oui,oui,16664.5597661858
inconnu,9,bon,ameublement,2697,< 100 Euro,1 - 4 annees,2.0,32.0,aucun,proprietaire,1,qualifie,2,oui,non,4124.8076277049295
inconnu,18,critique,ameublement,2404,< 100 Euro,1 - 4 annees,2.0,26.0,aucun,proprietaire,2,qualifie,1,oui,non,7015.1039153477
< 0 Euro,12,bon,ameublement,1262,inconnu,> 7 annees,4.0,49.0,aucun,proprietaire,1,non_qualifie,1,oui,non,2576.2529560798002
inconnu,6,bon,ameublement,4611,< 100 Euro,< 1 annee,4.0,32.0,aucun,proprietaire,1,qualifie,1,oui,oui,5096.33493403428
inconnu,24,bon,ameublement,1901,100 - 500 Euro,1 - 4 annees,4.0,29.0,aucun,locataire,1,management,1,oui,non,11320.2451100623
inconnu,15,critique,auto,3368,> 1000 Euro,> 7 annees,4.0,23.0,aucun,locataire,2,qualifie,1,oui,non,16944.747448765
inconnu,12,bon,ameublement,1574,< 100 Euro,1 - 4 annees,2.0,50.0,aucun,proprietaire,1,qualifie,1,oui,non,9164.79102614837
> 200 Euro,18,tres bon,ameublement,1445,inconnu,4 - 7 annees,4.0,49.0,banque,proprietaire,1,non_qualifie,1,oui,non,7187.97010132106
inconnu,15,critique,ameublement,1520,inconnu,> 7 annees,4.0,63.0,aucun,proprietaire,1,qualifie,1,oui,non,9199.71467738759
1 - 200 Euro,24,critique,auto,3878,100 - 500 Euro,< 1 annee,2.0,37.0,aucun,proprietaire,1,qualifie,1,oui,non,25950.1049449282
< 0 Euro,47,bon,auto,10722,< 100 Euro,< 1 annee,1.0,35.0,aucun,proprietaire,1,non_qualifie,1,oui,non,16465.6621918429
< 0 Euro,48,bon,auto,4788,< 100 Euro,4 - 7 annees,3.0,26.0,aucun,proprietaire,1,qualifie,2,oui,non,25444.064588791804
1 - 200 Euro,48,pauvre,auto0,7582,100 - 500 Euro,chomeur,4.0,31.0,aucun,autre,1,management,1,oui,non,20826.7250575074
1 - 200 Euro,12,bon,ameublement,1092,< 100 Euro,1 - 4 annees,4.0,49.0,aucun,proprietaire,2,qualifie,1,oui,non,6746.2277039399205
< 0 Euro,24,pauvre,ameublement,1024,< 100 Euro,< 1 annee,4.0,48.0,magasin,proprietaire,1,qualifie,1,oui,oui,4941.37689219885
inconnu,12,bon,business,1076,< 100 Euro,1 - 4 annees,2.0,26.0,aucun,proprietaire,1,qualifie,1,oui,non,2355.52335594362
1 - 200 Euro,36,bon,auto,9398,< 100 Euro,< 1 annee,4.0,28.0,aucun,locataire,1,management,1,oui,oui,16327.3934649671
< 0 Euro,24,critique,auto,6419,< 100 Euro,> 7 annees,4.0,44.0,aucun,autre,2,management,2,oui,non,17681.094791326497
> 200 Euro,42,critique,auto,4796,< 100 Euro,> 7 annees,4.0,56.0,aucun,autre,1,qualifie,1,oui,non,20309.8664545898
inconnu,48,critique,business,7629,inconnu,> 7 annees,2.0,46.0,banque,proprietaire,2,management,2,oui,non,44973.3795093358
1 - 200 Euro,48,bon,ameublement,9960,< 100 Euro,< 1 annee,2.0,26.0,aucun,proprietaire,1,qualifie,1,oui,oui,12920.2163104924
inconnu,6,critique,ameublement,1382,< 100 Euro,1 - 4 annees,1.0,28.0,aucun,proprietaire,2,qualifie,1,oui,non,1965.3321812102802
inconnu,6,critique,ameublement,1382,< 100 Euro,1 - 4 annees,1.0,28.0,aucun,proprietaire,2,qualifie,1,oui,non,1575.8585923723
inconnu,6,critique,ameublement,1382,< 100 Euro,1 - 4 annees,1.0,28.0,aucun,proprietaire,2,qualifie,1,oui,non,2048.97025683643
inconnu,12,bon,auto,4675,inconnu,< 1 annee,4.0,20.0,aucun,locataire,1,qualifie,1,oui,non,7018.63960221921
inconnu,10,bon,auto,1287,inconnu,> 7 annees,2.0,45.0,aucun,proprietaire,1,non_qualifie,1,oui,non,7428.27960822178
inconnu,18,bon,ameublement,2515,< 100 Euro,1 - 4 annees,4.0,43.0,aucun,proprietaire,1,qualifie,1,oui,non,13076.0422898167
1 - 200 Euro,21,critique,ameublement,2745,> 1000 Euro,4 - 7 annees,2.0,32.0,aucun,proprietaire,2,qualifie,1,oui,non,13277.5215938022
inconnu,6,bon,auto,672,< 100 Euro,chomeur,4.0,54.0,aucun,proprietaire,1,chomeur,1,oui,non,1205.64841267413
1 - 200 Euro,36,parfait,ameublement,3804,< 100 Euro,1 - 4 annees,1.0,42.0,aucun,proprietaire,1,qualifie,1,oui,oui,21656.9309332639
> 200 Euro,24,critique,auto,1344,inconnu,4 - 7 annees,2.0,37.0,banque,proprietaire,2,non_qualifie,2,oui,oui,7683.872153541959
< 0 Euro,10,critique,auto,1038,< 100 Euro,4 - 7 annees,3.0,49.0,aucun,proprietaire,2,qualifie,1,oui,non,5471.55768756012
inconnu,48,critique,auto,10127,500 - 1000 Euro,1 - 4 annees,2.0,44.0,banque,autre,1,qualifie,1,oui,oui,31957.902731545
inconnu,6,bon,ameublement,1543,> 1000 Euro,1 - 4 annees,2.0,33.0,aucun,proprietaire,1,qualifie,1,oui,non,10348.9712018688
inconnu,30,bon,auto,4811,inconnu,4 - 7 annees,4.0,24.0,magasin,locataire,1,non_qualifie,1,oui,non,15241.2918215153
< 0 Euro,12,bon,ameublement,727,100 - 500 Euro,< 1 annee,3.0,33.0,aucun,proprietaire,1,non_qualifie,1,oui,oui,4523.21628243997
1 - 200 Euro,8,bon,ameublement,1237,< 100 Euro,1 - 4 annees,4.0,24.0,aucun,proprietaire,1,qualifie,1,oui,oui,6393.95048714929
1 - 200 Euro,9,bon,auto,276,< 100 Euro,1 - 4 annees,4.0,22.0,aucun,locataire,1,non_qualifie,1,oui,non,1969.8484050473
1 - 200 Euro,48,bon,auto0,5381,inconnu,chomeur,4.0,40.0,banque,autre,1,chomeur,1,oui,non,25053.1582671842
inconnu,24,bon,ameublement,5511,100 - 500 Euro,1 - 4 annees,1.0,25.0,magasin,proprietaire,1,qualifie,1,oui,non,30852.5371039116
> 200 Euro,24,bon,ameublement,3749,< 100 Euro,< 1 annee,4.0,26.0,aucun,proprietaire,1,qualifie,1,oui,non,9495.72661569355
1 - 200 Euro,12,bon,auto,685,< 100 Euro,4 - 7 annees,3.0,25.0,banque,proprietaire,1,non_qualifie,1,oui,oui,1821.99879122573
> 200 Euro,4,bon,auto,1494,inconnu,< 1 annee,2.0,29.0,aucun,proprietaire,1,non_qualifie,2,oui,non,1786.4939842813299
< 0 Euro,36,tres bon,ameublement,2746,< 100 Euro,> 7 annees,4.0,31.0,banque,proprietaire,1,qualifie,1,oui,oui,15843.4725950025
< 0 Euro,12,bon,ameublement,708,< 100 Euro,1 - 4 annees,3.0,38.0,aucun,proprietaire,1,non_qualifie,2,oui,non,1776.7512518089602
1 - 200 Euro,24,bon,ameublement,4351,inconnu,1 - 4 annees,4.0,48.0,aucun,proprietaire,1,non_qualifie,1,oui,non,6417.593292678471
inconnu,12,critique,education,701,< 100 Euro,1 - 4 annees,2.0,32.0,aucun,proprietaire,2,qualifie,1,oui,non,4093.3785703571
< 0 Euro,15,pauvre,ameublement,3643,< 100 Euro,> 7 annees,4.0,27.0,aucun,proprietaire,2,non_qualifie,1,oui,non,4554.15727460437
1 - 200 Euro,30,critique,auto,4249,< 100 Euro,chomeur,2.0,28.0,aucun,proprietaire,2,management,1,oui,oui,24399.885764850802
< 0 Euro,24,bon,ameublement,1938,< 100 Euro,< 1 annee,3.0,32.0,aucun,proprietaire,1,qualifie,1,oui,oui,12549.366521021298
< 0 Euro,24,bon,auto,2910,< 100 Euro,4 - 7 annees,1.0,34.0,aucun,autre,1,management,1,oui,non,5839.42739326109
< 0 Euro,18,bon,ameublement,2659,> 1000 Euro,1 - 4 annees,2.0,28.0,aucun,proprietaire,1,qualifie,1,oui,non,13963.8900032697
inconnu,18,critique,auto,1028,< 100 Euro,1 - 4 annees,3.0,36.0,aucun,proprietaire,2,qualifie,1,oui,non,6350.97411030104
< 0 Euro,8,critique,auto,3398,< 100 Euro,4 - 7 annees,4.0,39.0,aucun,proprietaire,2,non_qualifie,1,oui,non,5124.1686522745285
inconnu,12,critique,ameublement,5801,inconnu,> 7 annees,4.0,49.0,aucun,locataire,1,qualifie,1,oui,non,20725.8983469648
inconnu,24,bon,auto,1525,> 1000 Euro,4 - 7 annees,3.0,34.0,aucun,proprietaire,1,qualifie,2,oui,non,10924.011646918001
> 200 Euro,36,bon,ameublement,4473,< 100 Euro,> 7 annees,2.0,31.0,aucun,proprietaire,1,qualifie,1,oui,non,25584.737593503
1 - 200 Euro,6,bon,ameublement,1068,< 100 Euro,> 7 annees,4.0,28.0,aucun,proprietaire,1,qualifie,2,oui,non,6078.706223419809
< 0 Euro,24,critique,auto,6615,< 100 Euro,chomeur,4.0,75.0,aucun,autre,2,management,1,oui,non,23153.8421962854
inconnu,18,critique,education,1864,100 - 500 Euro,1 - 4 annees,2.0,30.0,aucun,proprietaire,2,qualifie,1,oui,oui,7589.323655871
1 - 200 Euro,60,bon,auto,7408,100 - 500 Euro,< 1 annee,2.0,24.0,aucun,proprietaire,1,management,1,oui,oui,31895.575002434303
inconnu,48,critique,auto,11590,100 - 500 Euro,1 - 4 annees,4.0,24.0,banque,locataire,2,non_qualifie,1,oui,oui,24128.4636796009
< 0 Euro,24,parfait,ameublement,4110,< 100 Euro,> 7 annees,4.0,23.0,banque,locataire,2,qualifie,2,oui,oui,19440.2039017346
< 0 Euro,6,critique,ameublement,3384,< 100 Euro,1 - 4 annees,4.0,44.0,aucun,locataire,1,management,1,oui,oui,5601.68840982022
1 - 200 Euro,13,bon,ameublement,2101,< 100 Euro,< 1 annee,4.0,23.0,aucun,proprietaire,1,non_qualifie,1,oui,non,4329.304706868689
< 0 Euro,15,bon,ameublement,1275,inconnu,1 - 4 annees,2.0,24.0,aucun,locataire,1,qualifie,1,oui,oui,7095.79992952332
< 0 Euro,24,bon,ameublement,4169,< 100 Euro,1 - 4 annees,4.0,28.0,aucun,proprietaire,1,qualifie,1,oui,non,22641.6344541687
1 - 200 Euro,10,bon,ameublement,1521,< 100 Euro,1 - 4 annees,2.0,31.0,aucun,proprietaire,1,non_qualifie,1,oui,non,10024.878547536899
1 - 200 Euro,24,critique,education,5743,< 100 Euro,< 1 annee,4.0,24.0,aucun,autre,2,qualifie,1,oui,non,14504.2976390263
< 0 Euro,21,bon,ameublement,3599,< 100 Euro,4 - 7 annees,4.0,26.0,aucun,locataire,1,non_qualifie,1,oui,non,4154.37614336515
1 - 200 Euro,18,bon,ameublement,3213,500 - 1000 Euro,< 1 annee,3.0,25.0,aucun,locataire,1,qualifie,1,oui,non,3769.24781862693
1 - 200 Euro,18,bon,business,4439,< 100 Euro,> 7 annees,1.0,33.0,banque,proprietaire,1,management,1,oui,non,6738.38433364952
> 200 Euro,10,bon,auto,3949,< 100 Euro,< 1 annee,1.0,37.0,aucun,proprietaire,1,non_qualifie,2,oui,non,5453.25929174299
inconnu,15,critique,ameublement,1459,< 100 Euro,1 - 4 annees,2.0,43.0,aucun,proprietaire,1,non_qualifie,1,oui,non,5898.31117352183
1 - 200 Euro,13,critique,ameublement,882,< 100 Euro,< 1 annee,4.0,23.0,aucun,proprietaire,2,qualifie,1,oui,non,3976.7032117942094
1 - 200 Euro,24,bon,ameublement,3758,500 - 1000 Euro,chomeur,4.0,23.0,aucun,locataire,1,chomeur,1,oui,non,3842.0277301463
inconnu,6,pauvre,business,1743,100 - 500 Euro,1 - 4 annees,2.0,34.0,aucun,proprietaire,2,non_qualifie,1,oui,non,2754.4053810824603
1 - 200 Euro,9,critique,education,1136,> 1000 Euro,> 7 annees,3.0,32.0,aucun,autre,2,qualifie,2,oui,oui,6270.506710326579
inconnu,9,bon,ameublement,1236,< 100 Euro,< 1 annee,4.0,23.0,aucun,locataire,1,qualifie,1,oui,non,1622.30538552139
1 - 200 Euro,9,bon,ameublement,959,< 100 Euro,1 - 4 annees,2.0,29.0,aucun,proprietaire,1,qualifie,1,oui,oui,1113.36609844749
inconnu,18,critique,auto,3229,inconnu,chomeur,4.0,38.0,aucun,proprietaire,1,management,1,oui,non,8009.861840032429
< 0 Euro,12,parfait,ameublement,6199,< 100 Euro,1 - 4 annees,2.0,28.0,aucun,locataire,2,qualifie,1,oui,oui,44450.071445456786
inconnu,10,bon,education,727,500 - 1000 Euro,> 7 annees,4.0,46.0,aucun,autre,1,qualifie,1,oui,non,4264.45800473526
1 - 200 Euro,24,bon,auto,1246,< 100 Euro,< 1 annee,2.0,23.0,magasin,proprietaire,1,non_qualifie,1,oui,oui,8186.131406027271
inconnu,12,critique,ameublement,2331,inconnu,> 7 annees,4.0,49.0,aucun,proprietaire,1,qualifie,1,oui,non,3429.75029148812
inconnu,36,pauvre,ameublement,4463,< 100 Euro,1 - 4 annees,2.0,26.0,aucun,proprietaire,2,management,1,oui,oui,21160.7538746276
inconnu,12,bon,ameublement,776,< 100 Euro,1 - 4 annees,2.0,28.0,aucun,proprietaire,1,qualifie,1,oui,non,3265.87552074497
< 0 Euro,30,bon,ameublement,2406,< 100 Euro,4 - 7 annees,4.0,23.0,aucun,locataire,1,qualifie,1,oui,oui,12932.958881198101
1 - 200 Euro,18,bon,education,1239,inconnu,1 - 4 annees,4.0,61.0,aucun,autre,1,qualifie,1,oui,non,7407.43308352812
> 200 Euro,12,bon,ameublement,3399,inconnu,> 7 annees,3.0,37.0,aucun,proprietaire,1,management,1,oui,non,10847.6169137248
> 200 Euro,12,pauvre,auto,2247,< 100 Euro,1 - 4 annees,2.0,36.0,magasin,proprietaire,2,qualifie,1,oui,non,6215.77592833491
inconnu,6,bon,ameublement,1766,< 100 Euro,1 - 4 annees,2.0,21.0,aucun,locataire,1,qualifie,1,oui,non,1804.7176453314999
< 0 Euro,18,bon,ameublement,2473,< 100 Euro,chomeur,1.0,25.0,aucun,proprietaire,1,chomeur,1,oui,oui,15678.338830846102
